dataset,attack,budget,mean_gpu_mem_usage,std_gpu_mem_usage
citeseer,pgdattack,3,500.16449536,0.0002142474022955
citeseer,prbcdattack,3,159.79730944,0.0003040491474786
citeseer,random_degree_attack,3,39.20172032,0.2611409587875238
citeseer,gottack,3,65.2483584,0.0577193082736794
citeseer,sga,4,90.898176,11.82335411550472
citeseer,nettack,4,66.04156928,0.0269356771943817
citeseer,fga,4,438.74253824,0.0616189819688659
citeseer,pgdattack,4,500.16447488,0.0002268607988255
citeseer,prbcdattack,4,159.79780096000002,0.0003244774109303
citeseer,random_degree_attack,4,39.34419968,0.1618286668035233
citeseer,gottack,4,65.24835839999999,0.1346783859719146
pubmed,sga,2,90.93024768,9.327857732622512
pubmed,nettack,2,62.890496,0.0
pubmed,fga,2,353.95175424,0.0616189819688739
pubmed,pgdattack,2,415.37354752,0.0002577702061672
pubmed,prbcdattack,2,158.2472704,0.0004169784411772
pubmed,random_degree_attack,2,38.87338496,0.3017300946189052
pubmed,gottack,2,62.51718656,0.0377020942871767
pubmed,sga,3,91.97709312,11.161819620800111
pubmed,nettack,3,62.89811456,0.0377020942871767
pubmed,fga,3,354.14221824000003,0.0616189819688659
pubmed,pgdattack,3,415.18308352,0.0002577702061672
pubmed,prbcdattack,3,158.0567552,0.0004137584822512
pubmed,random_degree_attack,3,38.81457664,0.2531050216050738
pubmed,gottack,3,62.520995840000005,0.0456919207645894
pubmed,sga,4,91.34722048,10.363255556681455
pubmed,nettack,4,62.89811456,0.0377020942871767
pubmed,fga,4,353.95175424,0.0616189819688739
pubmed,pgdattack,4,415.37348608,0.0002450012778046
pubmed,prbcdattack,4,158.08492544,0.0004948912954237
pubmed,random_degree_attack,4,38.86221312,0.3105632546476364
pubmed,gottack,4,62.520995840000005,0.0456919207645894
chameleon,sga,2,90.80891392,11.306069354790496
chameleon,nettack,2,65.74307328,0.0269356771943817
chameleon,fga,2,360.41319424,0.0616189819688739
chameleon,pgdattack,2,421.83512064,0.0002322213722235
chameleon,prbcdattack,2,196.01452032,0.0003104912131896
chameleon,random_degree_attack,2,39.59595008,0.1641248580005714
chameleon,gottack,2,65.00890624,0.1916098912979352
chameleon,sga,3,91.04722944,11.089545050355552
chameleon,nettack,3,65.74688256,0.0377020942871753
chameleon,fga,3,360.41319424,0.0616189819688739
chameleon,pgdattack,3,421.8351616,0.0002068792411302
chameleon,prbcdattack,3,195.85215488,0.0003400946230845
chameleon,random_degree_attack,3,39.57856256,0.1956786645402388
chameleon,gottack,3,64.99178496,0.0667595047856342
chameleon,sga,4,88.70319104000001,9.339210555461744
chameleon,nettack,4,65.7588224,0.0577193082736751
chameleon,fga,4,360.41319424,0.0616189819688739
chameleon,pgdattack,4,421.8351616,0.0002068792411302
chameleon,prbcdattack,4,196.01494016,0.000334223642593
chameleon,random_degree_attack,4,39.62070016,0.2040030650253294
chameleon,gottack,4,65.0222592,0.228459603822949
squirrel,sga,2,90.47692288,11.13129896630607
squirrel,nettack,2,64.26941439999999,0.0577193082736794
squirrel,fga,2,354.14221824000003,0.0616189819688659
squirrel,pgdattack,2,415.18319616,0.0002412605806145
squirrel,prbcdattack,2,131.2793088,0.0072387413044991
squirrel,random_degree_attack,2,37.46374656,0.1012220979463454
squirrel,gottack,2,62.55527936,0.1565885580439246
squirrel,sga,3,90.30890496,10.48492396926853
squirrel,nettack,3,64.25417728,0.0269356771943837
squirrel,fga,3,354.14221824000003,0.0616189819688659
squirrel,pgdattack,3,415.5641344,0.0002370099455222
squirrel,prbcdattack,3,131.65840384,0.0075952016199268
squirrel,random_degree_attack,3,37.22867712,0.3158418133056314
squirrel,gottack,3,62.5286144,0.0577193082736772
squirrel,sga,4,91.1855104,11.636744960911434
squirrel,nettack,4,64.25798655999999,0.0377020942871781
squirrel,fga,4,354.14221824000003,0.0616189819688659
squirrel,pgdattack,4,415.5641344,0.0002370099455222
squirrel,prbcdattack,4,131.65897728,0.006553665305796
squirrel,random_degree_attack,4,37.8848768,0.2027896036042268
squirrel,gottack,4,62.5476608,0.18851047143588498
